"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,227,"TZA","Tanzania",1,"Arusha","TZ.AS",NA,"02","Mkoa","Region","",""
2,227,"TZA","Tanzania",2,"Dar es Salaam","TZ.DS",NA,"07","Mkoa","Region","","Dar-es-salaam|Pwani"
3,227,"TZA","Tanzania",3,"Dodoma","TZ.DO",NA,"01","Mkoa","Region","",""
4,227,"TZA","Tanzania",4,"Geita","TZ.GE",NA,"25","Mkoa","Region","",""
5,227,"TZA","Tanzania",5,"Iringa","TZ.IG",NA,"11","Mkoa","Region","",""
6,227,"TZA","Tanzania",6,"Kagera","TZ.KG",NA,"18","Mkoa","Region","",""
7,227,"TZA","Tanzania",7,"Katavi","TZ.KA",NA,"23","Mkoa","Region","",""
8,227,"TZA","Tanzania",8,"Kigoma","TZ.KM",NA,"16","Mkoa","Region","",""
9,227,"TZA","Tanzania",9,"Kilimanjaro","TZ.KL",NA,"03","Mkoa","Region","",""
10,227,"TZA","Tanzania",10,"Lindi","TZ.LI",NA,"08","Mkoa","Region","",""
11,227,"TZA","Tanzania",11,"Manyara","TZ.MY",NA,"21","Mkoa","Region","",""
12,227,"TZA","Tanzania",12,"Mara","TZ.MA",NA,"20","Mkoa","Region","",""
13,227,"TZA","Tanzania",13,"Mbeya","TZ.MB",NA,"12","Mkoa","Region","",""
14,227,"TZA","Tanzania",14,"Morogoro","TZ.MO",NA,"05","Mkoa","Region","",""
15,227,"TZA","Tanzania",15,"Mtwara","TZ.MT",NA,"09","Mkoa","Region","",""
16,227,"TZA","Tanzania",16,"Mwanza","TZ.MZ",NA,"19","Mkoa","Region","",""
17,227,"TZA","Tanzania",17,"Njombe","TZ.NJ",NA,"22","Mkoa","Region","",""
18,227,"TZA","Tanzania",18,"Pemba North","TZ.PN",NA,"54","Mkoa","Region","","Kaskazini Pemba"
19,227,"TZA","Tanzania",19,"Pemba South","TZ.PS",NA,"55","Mkoa","Region","","Kusini Pemba"
20,227,"TZA","Tanzania",20,"Pwani","TZ.PW",NA,"06","Mkoa","Region","",""
21,227,"TZA","Tanzania",21,"Rukwa","TZ.RU",NA,"15","Mkoa","Region","",""
22,227,"TZA","Tanzania",22,"Ruvuma","TZ.RV",NA,"10","Mkoa","Region","",""
23,227,"TZA","Tanzania",23,"Shinyanga","TZ.SY",NA,"17","Mkoa","Region","",""
24,227,"TZA","Tanzania",24,"Simiyu","TZ.SI",NA,"24","Mkoa","Region","",""
25,227,"TZA","Tanzania",25,"Singida","TZ.SD",NA,"13","Mkoa","Region","",""
26,227,"TZA","Tanzania",26,"Tabora","TZ.TB",NA,"14","Mkoa","Region","",""
27,227,"TZA","Tanzania",27,"Tanga","TZ.TN",NA,"04","Mkoa","Region","",""
28,227,"TZA","Tanzania",28,"Zanzibar North","TZ.ZN",NA,"51","Mkoa","Region","","Kaskazini Unguja"
29,227,"TZA","Tanzania",29,"Zanzibar South and Central","TZ.ZS",NA,"52","Mkoa","Region","","Kusini Unguja"
30,227,"TZA","Tanzania",30,"Zanzibar West","TZ.ZW",NA,"53","Mkoa","Region","","Mjini Magharibi"
