"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",1,"Baraa",NA,"052","Wodi","Ward","",""
2,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",2,"Daraja Mbili",NA,"112","Wodi","Ward","",""
3,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",3,"Elerai",NA,"172","Wodi","Ward","",""
4,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",4,"Engutoto",NA,"162","Wodi","Ward","",""
5,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",5,"Kaloleni",NA,"022","Wodi","Ward","",""
6,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",6,"Kati",NA,"012","Wodi","Ward","",""
7,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",7,"Kimandolu",NA,"042","Wodi","Ward","",""
8,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",8,"Lemara",NA,"082","Wodi","Ward","",""
9,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",9,"Levolosi",NA,"152","Wodi","Ward","",""
10,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",10,"Moshono",NA,"192","Wodi","Ward","",""
11,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",11,"Ngarenaro",NA,"142","Wodi","Ward","",""
12,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",12,"Olasiti",NA,"182","Wodi","Ward","",""
13,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",13,"Oloirieni",NA,"062","Wodi","Ward","",""
14,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",14,"Sekei",NA,"032","Wodi","Ward","",""
15,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",15,"Sokoni I",NA,"102","Wodi","Ward","",""
16,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",16,"Sombetini",NA,"132","Wodi","Ward","",""
17,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",17,"Terrat",NA,"092","Wodi","Ward","",""
18,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",18,"Themi",NA,"072","Wodi","Ward","",""
19,227,"TZA","Tanzania",1,"Arusha",1,"Arusha Urban",19,"Unga Ltd",NA,"122","Wodi","Ward","",""
