COMID,order_,watershed,subbasin,region
13000001,1,north_america,geoglows,Eastern_Canada
13000002,2,north_america,geoglows,Eastern_Canada
13000003,1,north_america,geoglows,Eastern_Canada
13000004,1,north_america,geoglows,Eastern_Canada
13000005,1,north_america,geoglows,Eastern_Canada
13000006,3,north_america,geoglows,Eastern_Canada
13000007,1,north_america,geoglows,Eastern_Canada
13000008,3,north_america,geoglows,Eastern_Canada
13000009,1,north_america,geoglows,Eastern_Canada
13000010,1,north_america,geoglows,Eastern_Canada
13000011,1,north_america,geoglows,Eastern_Canada
13000012,1,north_america,geoglows,Eastern_Canada
13000013,2,north_america,geoglows,Eastern_Canada
13000014,1,north_america,geoglows,Eastern_Canada
13000015,1,north_america,geoglows,Eastern_Canada
13000016,2,north_america,geoglows,Eastern_Canada
13000017,1,north_america,geoglows,Eastern_Canada
13000018,1,north_america,geoglows,Hudson_Bay_East
13000019,1,north_america,geoglows,Hudson_Bay_East
13000020,1,north_america,geoglows,Eastern_Canada
13000021,2,north_america,geoglows,Eastern_Canada
13000022,1,north_america,geoglows,Eastern_Canada
13000023,1,north_america,geoglows,Eastern_Canada
13000024,2,north_america,geoglows,Eastern_Canada
13000025,1,north_america,geoglows,Pacific_NW_Can
13000026,2,north_america,geoglows,Eastern_Canada
13000027,1,north_america,geoglows,Pacific_NW_Can
13000028,1,north_america,geoglows,Pacific_NW_Can
13000029,3,north_america,geoglows,Eastern_Canada
13000030,3,north_america,geoglows,Eastern_Canada
13000031,1,north_america,geoglows,Eastern_Canada
13000032,1,north_america,geoglows,Eastern_Canada
13000033,1,north_america,geoglows,Pacific_NW_Can
13000034,1,north_america,geoglows,Eastern_Canada
13000035,1,north_america,geoglows,Pacific_NW_Can
13000036,1,north_america,geoglows,Eastern_Canada
13000037,1,north_america,geoglows,Hudson_Bay_East
13000038,2,north_america,geoglows,Pacific_NW_Can
13000039,2,north_america,geoglows,Pacific_NW_Can
13000040,1,north_america,geoglows,Eastern_Canada
13000041,2,north_america,geoglows,Eastern_Canada
13000042,1,north_america,geoglows,Eastern_Canada
13000043,2,north_america,geoglows,Eastern_Canada
13000044,1,north_america,geoglows,Eastern_Canada
13000045,1,north_america,geoglows,Pacific_NW_Can
13000046,1,north_america,geoglows,Hudson_Bay_East
13000047,1,north_america,geoglows,Hudson_Bay_East
13000048,2,north_america,geoglows,Eastern_Canada
13000049,1,north_america,geoglows,Eastern_Canada
13000050,3,north_america,geoglows,Eastern_Canada
13000051,1,north_america,geoglows,Eastern_Canada
13000052,1,north_america,geoglows,Eastern_Canada
13000053,2,north_america,geoglows,Eastern_Canada
13000054,1,north_america,geoglows,Eastern_Canada
13000055,2,north_america,geoglows,Eastern_Canada
13000056,3,north_america,geoglows,Eastern_Canada
13000057,2,north_america,geoglows,Hudson_Bay_East
13000058,1,north_america,geoglows,Hudson_Bay_East
13000059,3,north_america,geoglows,Eastern_Canada
13000060,1,north_america,geoglows,Eastern_Canada
13000061,2,north_america,geoglows,Eastern_Canada
13000062,1,north_america,geoglows,Pacific_NW_Can
13000063,1,north_america,geoglows,Pacific_NW_Can
13000064,1,north_america,geoglows,Eastern_Canada
13000065,3,north_america,geoglows,Pacific_NW_Can
13000066,2,north_america,geoglows,Eastern_Canada
13000067,2,north_america,geoglows,Eastern_Canada
13000068,1,north_america,geoglows,Eastern_Canada
13000069,1,north_america,geoglows,Eastern_Canada
13000070,2,north_america,geoglows,Pacific_NW_Can
13000071,1,north_america,geoglows,Hudson_Bay_East
13000072,1,north_america,geoglows,Hudson_Bay_East
13000073,1,north_america,geoglows,Pacific_NW_Can
13000074,3,north_america,geoglows,Eastern_Canada
13000075,1,north_america,geoglows,Pacific_NW_Can
13000076,2,north_america,geoglows,Hudson_Bay_East
13000077,1,north_america,geoglows,Eastern_Canada
13000078,3,north_america,geoglows,Eastern_Canada
13000079,1,north_america,geoglows,Eastern_Canada
13000080,2,north_america,geoglows,Eastern_Canada
13000081,2,north_america,geoglows,Pacific_NW_Can
13000082,3,north_america,geoglows,Pacific_NW_Can
13000083,1,north_america,geoglows,Hudson_Bay_East
13000084,1,north_america,geoglows,Eastern_Canada
13000085,1,north_america,geoglows,Hudson_Bay_East
13000086,1,north_america,geoglows,Pacific_NW_Can
13000087,1,north_america,geoglows,Pacific_NW_Can
13000088,1,north_america,geoglows,Eastern_Canada
13000089,1,north_america,geoglows,Eastern_Canada
13000090,2,north_america,geoglows,Hudson_Bay_East
13000091,1,north_america,geoglows,Eastern_Canada
13000092,3,north_america,geoglows,Pacific_NW_Can
13000093,1,north_america,geoglows,Pacific_NW_Can
