COMID,order_,watershed,subbasin,region
945975,1,central_america,geoglows,Mexico
946151,2,central_america,geoglows,Mexico
946227,2,central_america,geoglows,Mexico
946260,1,central_america,geoglows,Mexico
946261,3,central_america,geoglows,Mexico
946262,4,central_america,geoglows,Belize
946264,2,central_america,geoglows,Mexico
946270,4,central_america,geoglows,Mexico
946279,1,central_america,geoglows,Mexico
946367,1,central_america,geoglows,Belize
946413,2,central_america,geoglows,Mexico
946450,1,central_america,geoglows,Mexico
946477,1,central_america,geoglows,Mexico
946497,1,central_america,geoglows,Mexico
946537,1,central_america,geoglows,Mexico
946584,1,central_america,geoglows,Mexico
946609,2,central_america,geoglows,Mexico
946610,3,central_america,geoglows,Mexico
946620,2,central_america,geoglows,Belize
946661,3,central_america,geoglows,Mexico
946662,4,central_america,geoglows,Belize
946682,1,central_america,geoglows,Mexico
946739,1,central_america,geoglows,Mexico
946740,2,central_america,geoglows,Mexico
946756,1,central_america,geoglows,Belize
946767,2,central_america,geoglows,Mexico
946789,2,central_america,geoglows,Belize
946801,1,central_america,geoglows,Belize
946827,1,central_america,geoglows,Mexico
946846,2,central_america,geoglows,Belize
946891,2,central_america,geoglows,Mexico
946939,2,central_america,geoglows,Belize
946954,1,central_america,geoglows,Belize
946994,1,central_america,geoglows,Mexico
947002,1,central_america,geoglows,Mexico
947003,4,central_america,geoglows,Mexico
947079,1,central_america,geoglows,Mexico
947080,2,central_america,geoglows,Mexico
947095,2,central_america,geoglows,Belize
947108,1,central_america,geoglows,Mexico
947109,1,central_america,geoglows,Belize
947136,1,central_america,geoglows,Belize
947145,2,central_america,geoglows,Belize
947165,4,central_america,geoglows,Belize
947169,1,central_america,geoglows,Belize
947184,1,central_america,geoglows,Belize
947193,1,central_america,geoglows,Belize
947257,1,central_america,geoglows,Mexico
947258,4,central_america,geoglows,Belize
947264,1,central_america,geoglows,Belize
947291,1,central_america,geoglows,Mexico
947304,4,central_america,geoglows,Mexico
947326,1,central_america,geoglows,Mexico
947364,4,central_america,geoglows,Mexico
947370,1,central_america,geoglows,Mexico
947384,1,central_america,geoglows,Belize
947436,1,central_america,geoglows,Belize
947443,1,central_america,geoglows,Mexico
947447,2,central_america,geoglows,Mexico
947448,4,central_america,geoglows,Mexico
947469,4,central_america,geoglows,Mexico
947486,1,central_america,geoglows,Mexico
947487,1,central_america,geoglows,Mexico
947496,1,central_america,geoglows,Mexico
947497,1,central_america,geoglows,Mexico
947500,4,central_america,geoglows,Belize
947523,2,central_america,geoglows,Mexico
947538,1,central_america,geoglows,Belize
947541,1,central_america,geoglows,Belize
947544,3,central_america,geoglows,Mexico
947554,2,central_america,geoglows,Mexico
947555,4,central_america,geoglows,Belize
947556,2,central_america,geoglows,Belize
947557,1,central_america,geoglows,Belize
947561,3,central_america,geoglows,Mexico
947628,1,central_america,geoglows,Mexico
947639,1,central_america,geoglows,Belize
947670,2,central_america,geoglows,Belize
947677,1,central_america,geoglows,Belize
947678,2,central_america,geoglows,Belize
947697,4,central_america,geoglows,Belize
947698,4,central_america,geoglows,Belize
947702,3,central_america,geoglows,Mexico
947705,2,central_america,geoglows,Belize
947723,1,central_america,geoglows,Mexico
947729,3,central_america,geoglows,Mexico
947733,2,central_america,geoglows,Mexico
947751,1,central_america,geoglows,Mexico
947760,2,central_america,geoglows,Mexico
947761,1,central_america,geoglows,Mexico
947774,1,central_america,geoglows,Mexico
947782,1,central_america,geoglows,Mexico
947784,1,central_america,geoglows,Mexico
947785,2,central_america,geoglows,Belize
947791,1,central_america,geoglows,Belize
947792,1,central_america,geoglows,Belize
947796,2,central_america,geoglows,Mexico
947805,1,central_america,geoglows,Mexico
947810,1,central_america,geoglows,Mexico
947814,1,central_america,geoglows,Belize
