COMID,order_,watershed,subbasin,region
9000001,2,south_america,geoglows,Northwest_Coast
9000002,1,south_america,geoglows,Northwest_Coast
9000003,2,south_america,geoglows,Northwest_Coast
9000004,1,south_america,geoglows,Northwest_Coast
9000005,1,south_america,geoglows,Northwest_Coast
9000006,1,south_america,geoglows,Northwest_Coast
9000007,1,south_america,geoglows,Northwest_Coast
9000008,1,south_america,geoglows,Northwest_Coast
9000009,2,south_america,geoglows,Northwest_Coast
9000010,1,south_america,geoglows,Northwest_Coast
9000011,2,south_america,geoglows,Northwest_Coast
9000012,1,south_america,geoglows,Northwest_Coast
9000013,2,south_america,geoglows,Northwest_Coast
9000014,1,south_america,geoglows,Northwest_Coast
9000015,1,south_america,geoglows,Northwest_Coast
9000016,1,south_america,geoglows,Northwest_Coast
9000017,2,south_america,geoglows,Northwest_Coast
9000018,1,south_america,geoglows,Northwest_Coast
9000019,1,south_america,geoglows,Northwest_Coast
9000022,1,south_america,geoglows,Northwest_Coast
9000024,1,south_america,geoglows,Northwest_Coast
9000025,2,south_america,geoglows,Northwest_Coast
9000026,1,south_america,geoglows,Northwest_Coast
9000027,1,south_america,geoglows,Northwest_Coast
9000028,1,south_america,geoglows,Northwest_Coast
9000029,2,south_america,geoglows,Northwest_Coast
9000030,2,south_america,geoglows,Northwest_Coast
9000032,1,south_america,geoglows,Northwest_Coast
9000034,1,south_america,geoglows,Northwest_Coast
9000035,1,south_america,geoglows,Northwest_Coast
9000036,1,south_america,geoglows,Northwest_Coast
9000037,1,south_america,geoglows,Northwest_Coast
9000038,1,south_america,geoglows,Northwest_Coast
9000039,1,south_america,geoglows,Northwest_Coast
9000040,1,south_america,geoglows,Northwest_Coast
9000041,1,south_america,geoglows,Northwest_Coast
9000042,1,south_america,geoglows,Northwest_Coast
9000043,1,south_america,geoglows,Northwest_Coast
9000044,2,south_america,geoglows,Northwest_Coast
9000045,2,south_america,geoglows,Northwest_Coast
9000046,1,south_america,geoglows,Northwest_Coast
9000048,2,south_america,geoglows,Northwest_Coast
9000049,1,south_america,geoglows,Northwest_Coast
9000050,1,south_america,geoglows,Northwest_Coast
9000051,1,south_america,geoglows,Northwest_Coast
9000052,1,south_america,geoglows,Northwest_Coast
9000056,2,south_america,geoglows,Northwest_Coast
9000058,2,south_america,geoglows,Northwest_Coast
9000059,1,south_america,geoglows,Northwest_Coast
9000060,1,south_america,geoglows,Northwest_Coast
9000061,1,south_america,geoglows,Northwest_Coast
9000062,1,south_america,geoglows,Northwest_Coast
