COMID,order_,watershed,subbasin,region
9018784,4,south_america,geoglows,Northwest_Coast
9018915,1,south_america,geoglows,Northwest_Coast
9019005,4,south_america,geoglows,Northwest_Coast
9019060,1,south_america,geoglows,Northwest_Coast
9019062,2,south_america,geoglows,Northwest_Coast
9019227,1,south_america,geoglows,Northwest_Coast
9019391,4,south_america,geoglows,Northwest_Coast
9019464,1,south_america,geoglows,Northwest_Coast
9019511,4,south_america,geoglows,Northwest_Coast
9019520,3,south_america,geoglows,Northwest_Coast
9019521,1,south_america,geoglows,Northwest_Coast
9019597,3,south_america,geoglows,Northwest_Coast
9019683,3,south_america,geoglows,Northwest_Coast
9019736,1,south_america,geoglows,Northwest_Coast
9019828,1,south_america,geoglows,Northwest_Coast
9019864,1,south_america,geoglows,Northwest_Coast
9019879,1,south_america,geoglows,Northwest_Coast
9019880,2,south_america,geoglows,Northwest_Coast
9019981,3,south_america,geoglows,Northwest_Coast
9019982,2,south_america,geoglows,Northwest_Coast
9020005,1,south_america,geoglows,Northwest_Coast
9020015,2,south_america,geoglows,Northwest_Coast
9020032,1,south_america,geoglows,Northwest_Coast
9020123,1,south_america,geoglows,Northwest_Coast
9020126,2,south_america,geoglows,Northwest_Coast
9020173,2,south_america,geoglows,Northwest_Coast
9020258,1,south_america,geoglows,Northwest_Coast
9020260,4,south_america,geoglows,Northwest_Coast
9020312,1,south_america,geoglows,Northwest_Coast
9020319,1,south_america,geoglows,Northwest_Coast
9020332,3,south_america,geoglows,Northwest_Coast
9020344,1,south_america,geoglows,Northwest_Coast
9020345,1,south_america,geoglows,Northwest_Coast
9020357,2,south_america,geoglows,Northwest_Coast
9020411,3,south_america,geoglows,Northwest_Coast
9020412,2,south_america,geoglows,Northwest_Coast
9020489,1,south_america,geoglows,Northwest_Coast
9020496,3,south_america,geoglows,Northwest_Coast
9020508,1,south_america,geoglows,Northwest_Coast
9020518,1,south_america,geoglows,Northwest_Coast
9020565,3,south_america,geoglows,Northwest_Coast
9020608,1,south_america,geoglows,Northwest_Coast
9020617,1,south_america,geoglows,Northwest_Coast
9020680,1,south_america,geoglows,Northwest_Coast
9020705,2,south_america,geoglows,Northwest_Coast
9020714,2,south_america,geoglows,Northwest_Coast
9020720,1,south_america,geoglows,Northwest_Coast
9020721,1,south_america,geoglows,Northwest_Coast
9020722,1,south_america,geoglows,Northwest_Coast
9020728,1,south_america,geoglows,Northwest_Coast
9020731,2,south_america,geoglows,Northwest_Coast
9020756,1,south_america,geoglows,Northwest_Coast
9020797,2,south_america,geoglows,Northwest_Coast
9020803,2,south_america,geoglows,Northwest_Coast
9020827,2,south_america,geoglows,Northwest_Coast
9020833,2,south_america,geoglows,Northwest_Coast
9020835,1,south_america,geoglows,Northwest_Coast
9020855,1,south_america,geoglows,Northwest_Coast
9020874,1,south_america,geoglows,Northwest_Coast
9020876,3,south_america,geoglows,Northwest_Coast
9020899,2,south_america,geoglows,Northwest_Coast
9020907,1,south_america,geoglows,Northwest_Coast
9020924,3,south_america,geoglows,Northwest_Coast
9020929,1,south_america,geoglows,Northwest_Coast
9020934,1,south_america,geoglows,Northwest_Coast
9020941,1,south_america,geoglows,Northwest_Coast
9020949,1,south_america,geoglows,Northwest_Coast
9020958,2,south_america,geoglows,Northwest_Coast
9020974,1,south_america,geoglows,Northwest_Coast
9020993,2,south_america,geoglows,Northwest_Coast
9020995,2,south_america,geoglows,Northwest_Coast
9020996,1,south_america,geoglows,Northwest_Coast
9020997,3,south_america,geoglows,Northwest_Coast
9020998,2,south_america,geoglows,Northwest_Coast
9020999,1,south_america,geoglows,Northwest_Coast
9021002,3,south_america,geoglows,Northwest_Coast
9021003,1,south_america,geoglows,Northwest_Coast
9021012,1,south_america,geoglows,Northwest_Coast
9021015,2,south_america,geoglows,Northwest_Coast
9021041,2,south_america,geoglows,Northwest_Coast
9021045,1,south_america,geoglows,Northwest_Coast
9021049,1,south_america,geoglows,Northwest_Coast
9021058,1,south_america,geoglows,Northwest_Coast
9021062,1,south_america,geoglows,Northwest_Coast
9021064,1,south_america,geoglows,Northwest_Coast
9021081,2,south_america,geoglows,Northwest_Coast
9021085,2,south_america,geoglows,Northwest_Coast
9021088,3,south_america,geoglows,Northwest_Coast
9021152,1,south_america,geoglows,Northwest_Coast
9021163,1,south_america,geoglows,Northwest_Coast
9021168,2,south_america,geoglows,Northwest_Coast
9021173,2,south_america,geoglows,Northwest_Coast
9021174,2,south_america,geoglows,Northwest_Coast
9021183,3,south_america,geoglows,Northwest_Coast
9021184,1,south_america,geoglows,Northwest_Coast
9021186,1,south_america,geoglows,Northwest_Coast
9021191,1,south_america,geoglows,Northwest_Coast
9021212,2,south_america,geoglows,Northwest_Coast
9021217,1,south_america,geoglows,Northwest_Coast
9021223,3,south_america,geoglows,Northwest_Coast
9021236,1,south_america,geoglows,Northwest_Coast
9021237,1,south_america,geoglows,Northwest_Coast
9021264,1,south_america,geoglows,Amazon_River
9021289,3,south_america,geoglows,Northwest_Coast
9021326,1,south_america,geoglows,Northwest_Coast
9021329,3,south_america,geoglows,Northwest_Coast
9021332,2,south_america,geoglows,Northwest_Coast
9021342,1,south_america,geoglows,Northwest_Coast
9021343,1,south_america,geoglows,Northwest_Coast
9021352,1,south_america,geoglows,Northwest_Coast
9021365,1,south_america,geoglows,Northwest_Coast
9021378,1,south_america,geoglows,Northwest_Coast
9021414,3,south_america,geoglows,Northwest_Coast
9021440,1,south_america,geoglows,Amazon_River
9021441,1,south_america,geoglows,Amazon_River
9021459,2,south_america,geoglows,Northwest_Coast
9021465,3,south_america,geoglows,Northwest_Coast
9021467,1,south_america,geoglows,Northwest_Coast
9021468,3,south_america,geoglows,Northwest_Coast
9021469,2,south_america,geoglows,Northwest_Coast
9021479,2,south_america,geoglows,Northwest_Coast
9021481,5,south_america,geoglows,Northwest_Coast
9021489,2,south_america,geoglows,Amazon_River
9021493,1,south_america,geoglows,Northwest_Coast
9021496,1,south_america,geoglows,Northwest_Coast
9021498,1,south_america,geoglows,Northwest_Coast
9021507,1,south_america,geoglows,Northwest_Coast
9021511,1,south_america,geoglows,Northwest_Coast
9021527,1,south_america,geoglows,Northwest_Coast
9021534,1,south_america,geoglows,Amazon_River
9021582,1,south_america,geoglows,Northwest_Coast
9021585,1,south_america,geoglows,Northwest_Coast
9021641,2,south_america,geoglows,Northwest_Coast
9021642,3,south_america,geoglows,Northwest_Coast
9021643,1,south_america,geoglows,Northwest_Coast
9021644,1,south_america,geoglows,Northwest_Coast
9021681,2,south_america,geoglows,Amazon_River
9021688,1,south_america,geoglows,Northwest_Coast
9021692,2,south_america,geoglows,Northwest_Coast
9021696,1,south_america,geoglows,Northwest_Coast
9021701,2,south_america,geoglows,Northwest_Coast
9021712,2,south_america,geoglows,Northwest_Coast
9021713,1,south_america,geoglows,Amazon_River
9021723,1,south_america,geoglows,Amazon_River
9021728,1,south_america,geoglows,Amazon_River
9021733,1,south_america,geoglows,Northwest_Coast
9021738,1,south_america,geoglows,Northwest_Coast
9021769,1,south_america,geoglows,Northwest_Coast
9021779,1,south_america,geoglows,Northwest_Coast
9021780,2,south_america,geoglows,Northwest_Coast
9021783,1,south_america,geoglows,Northwest_Coast
9021808,1,south_america,geoglows,Northwest_Coast
9021830,1,south_america,geoglows,Northwest_Coast
9021843,3,south_america,geoglows,Northwest_Coast
9021881,2,south_america,geoglows,Northwest_Coast
9021901,2,south_america,geoglows,Northwest_Coast
9021902,1,south_america,geoglows,Northwest_Coast
9021913,1,south_america,geoglows,Northwest_Coast
9021914,3,south_america,geoglows,Northwest_Coast
9021926,1,south_america,geoglows,Northwest_Coast
9021927,2,south_america,geoglows,Northwest_Coast
9021942,1,south_america,geoglows,Amazon_River
9021956,1,south_america,geoglows,Northwest_Coast
9021957,2,south_america,geoglows,Amazon_River
9021958,1,south_america,geoglows,Amazon_River
9021963,1,south_america,geoglows,Northwest_Coast
9021970,3,south_america,geoglows,Northwest_Coast
9022001,1,south_america,geoglows,Northwest_Coast
9022006,2,south_america,geoglows,Northwest_Coast
9022009,1,south_america,geoglows,Northwest_Coast
9022017,3,south_america,geoglows,Amazon_River
9022024,5,south_america,geoglows,Northwest_Coast
9022025,1,south_america,geoglows,Amazon_River
9022030,3,south_america,geoglows,Northwest_Coast
9022031,1,south_america,geoglows,Northwest_Coast
9022038,1,south_america,geoglows,Northwest_Coast
9022041,3,south_america,geoglows,Northwest_Coast
9022043,1,south_america,geoglows,Northwest_Coast
9022046,1,south_america,geoglows,Northwest_Coast
9022047,5,south_america,geoglows,Northwest_Coast
9022055,1,south_america,geoglows,Northwest_Coast
9022060,1,south_america,geoglows,Amazon_River
9022062,1,south_america,geoglows,Amazon_River
9022064,1,south_america,geoglows,Northwest_Coast
9022068,1,south_america,geoglows,Amazon_River
9022069,2,south_america,geoglows,Amazon_River
9022076,2,south_america,geoglows,Northwest_Coast
9022078,5,south_america,geoglows,Northwest_Coast
9022081,2,south_america,geoglows,Northwest_Coast
9022114,2,south_america,geoglows,Northwest_Coast
9022115,4,south_america,geoglows,Amazon_River
9022126,2,south_america,geoglows,Amazon_River
9022128,1,south_america,geoglows,Northwest_Coast
9022137,2,south_america,geoglows,Northwest_Coast
9022139,3,south_america,geoglows,Northwest_Coast
9022167,1,south_america,geoglows,Northwest_Coast
9022170,1,south_america,geoglows,Northwest_Coast
9022173,1,south_america,geoglows,Northwest_Coast
9022185,1,south_america,geoglows,Northwest_Coast
9022211,4,south_america,geoglows,Amazon_River
9022227,2,south_america,geoglows,Northwest_Coast
9022233,2,south_america,geoglows,Northwest_Coast
9022258,1,south_america,geoglows,Amazon_River
9022262,1,south_america,geoglows,Amazon_River
9022271,4,south_america,geoglows,Amazon_River
9022273,1,south_america,geoglows,Northwest_Coast
9022274,2,south_america,geoglows,Amazon_River
9022275,4,south_america,geoglows,Amazon_River
9022281,1,south_america,geoglows,Northwest_Coast
9022282,4,south_america,geoglows,Amazon_River
9022290,2,south_america,geoglows,Amazon_River
9022298,1,south_america,geoglows,Amazon_River
9022304,1,south_america,geoglows,Northwest_Coast
9022305,2,south_america,geoglows,Northwest_Coast
9022306,4,south_america,geoglows,Amazon_River
9022308,1,south_america,geoglows,Amazon_River
9022324,3,south_america,geoglows,Amazon_River
9022325,1,south_america,geoglows,Amazon_River
9022327,1,south_america,geoglows,Northwest_Coast
9022328,1,south_america,geoglows,Northwest_Coast
9022329,2,south_america,geoglows,Amazon_River
9022336,1,south_america,geoglows,Amazon_River
9022361,1,south_america,geoglows,Amazon_River
9022366,2,south_america,geoglows,Northwest_Coast
9022372,1,south_america,geoglows,Northwest_Coast
9022373,1,south_america,geoglows,Amazon_River
9022379,1,south_america,geoglows,Amazon_River
9022382,1,south_america,geoglows,Northwest_Coast
9022383,2,south_america,geoglows,Northwest_Coast
9022410,4,south_america,geoglows,Northwest_Coast
9022414,2,south_america,geoglows,Northwest_Coast
9022426,2,south_america,geoglows,Northwest_Coast
9022427,3,south_america,geoglows,Northwest_Coast
9022442,1,south_america,geoglows,Amazon_River
9022443,1,south_america,geoglows,Amazon_River
9022468,1,south_america,geoglows,Amazon_River
9022469,4,south_america,geoglows,Amazon_River
9022479,4,south_america,geoglows,Northwest_Coast
9022480,1,south_america,geoglows,Northwest_Coast
9022510,4,south_america,geoglows,Northwest_Coast
9022511,4,south_america,geoglows,Amazon_River
9022512,2,south_america,geoglows,Amazon_River
9022517,1,south_america,geoglows,Northwest_Coast
9022534,1,south_america,geoglows,Northwest_Coast
9022535,3,south_america,geoglows,Northwest_Coast
9022551,3,south_america,geoglows,Amazon_River
9022552,1,south_america,geoglows,Amazon_River
9022557,2,south_america,geoglows,Amazon_River
9022558,1,south_america,geoglows,Amazon_River
9022565,1,south_america,geoglows,Amazon_River
