CODIGO,NOMBRE,X,Y,Z,REGION,ACTUAL,ACTUAL,,,
SIAP-23,Sede-INDRHI,402188.0,204057.0,,OZA-NIZ,climática,Satelital,,,
SIAP-26,Valdesia,364822.4,2035372.9,,OZA-NIZ,climática,Satelital,,,
SIAP-2,Pico Duarte,290123.9,2104041.7,,YNOR,climática,Satelital,,,
SIAP-11,Don Miguel,218377.0,2158781.9,,YNOR,climática,Satelital,,,
SIAP-14,Isa,345119.9,2077242.6,,YNOR,climática,Satelital,,,
SIAP-17,Jarabacoa,331114.5,2115121.9,,YNOR,climática,Satelital,,,
SIAP-20,Tavera,320505.1,2136009.7,,YNOR,climática,Satelital,,,
SIAP-29,Arroyo Caña,346025.3,2069794.8,,YNOR,climática,Satelital,,,
SIAP-43,Mata Grande,394798.8,2121410.5,,YNOR,climática,Satelital,,,
SIAP-32,Constanza,319166.5,2091834.8,,YSUR,climática,Satelital,,,
SIAP-35,Los Valencios,258710.1,2111222.9,,YSUR,climática,Satelital,,,
SIAP-38,Guayabal-Padre las Casas,305115.3,2074694.3,,YSUR,climática,Satelital,,,
SIAP-41,San Juan km 11,273172.0,2075533.0,,YSUR,climática,Satelital,,,
SIAP-52,El 15 de Azua,302700.4,2042523.1,,YSUR,climática,Satelital,,,
SIAP-5,Juma ,354005.6,2090084.0,,YUNA,climática,Satelital,,,
SIAP-8,Los Botados,332820.0,2087095.1,,YUNA,climática,Satelital,,,
SIAP-99,Nizao Bocaina,346037.0,2065012.2,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-100,Mahoma Rosalito,355592.0,2055817.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-101,Mahomita el Cacao,362760.0,2049278.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-102,Presa de Jiguey,354652.0,2051200.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-103,Presa de Aguacate,360528.0,2045604.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-104,Presa de Valdesía,364768.0,2034070.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-105,Contraembalse Las Barías,366337.0,2030822.0,,OZA-NIZ,hidrométrica,Satelital,,,
SIAP-56,Jimenoa Redondo,333118.0,2104490.0,,YNOR,hidrométrica,Satelital,,,
SIAP-57,Yaque del Norte Boma,323977.0,2121535.0,,YNOR,hidrométrica,Satelital,,,
SIAP-58,Yaque del Pinar Quemado,323861.5,2111592.3,,YNOR,hidrométrica,Satelital,,,
SIAP-59,Yaque del Norte Manabao,311918.1,2110080.5,,YNOR,hidrométrica,Satelital,,,
SIAP-60,Baiguate Paso Bajito,329852.7,2108245.9,,YNOR,hidrométrica,Satelital,,,
SIAP-77,Contraembalse de Lopéz,316790.0,2136112.0,,YNOR,hidrométrica,Satelital,,,
SIAP-78,Magua Los Ramones,274822.0,2134825.9,,YNOR,hidrométrica,Satelital,,,
SIAP-79,Cidra La Cidra,256614.0,2133245.0,,YNOR,hidrométrica,Satelital,,,
SIAP-80,Cenoví en Cenoví,265920.1,2137583.5,,YNOR,hidrométrica,Satelital,,,
SIAP-81,Presa de Maguaca,236388.0,2171072.0,,YNOR,hidrométrica,Satelital,,,
SIAP-82,Presa de Chacuey,233074.0,2171684.0,,YNOR,hidrométrica,Satelital,,,
SIAP-83,Presa de Tavera,319195.0,2133408.0,,YNOR,hidrométrica,Satelital,,,
SIAP-85,Yaque del Norte Santiago,321046.0,2151267.0,,YNOR,hidrométrica,Satelital,,,
SIAP-86,Guanajuma el Cerrazö,316700.0,2131815.0,,YNOR,hidrométrica,Satelital,,,
SIAP-87,Baiguaque Los Pilones,330053.5,2129921.9,,YNOR,hidrométrica,Satelital,,,
SIAP-88,Amina Inoa,294365.0,2146498.0,,YNOR,hidrométrica,Satelital,,,
,Puente San Rafael,,,,,hidrométrica,Satelital,,,
SIAP-89,Yaque del N el Puente yapur d,283894.0,2167349.0,,YNOR,hidrométrica,Satelital,,,
SIAP-90,Gayubín Rincón,249236.0,2160450.0,,YNOR,hidrométrica,Satelital,,,
SIAP-91,Jagua el Higuero,306361.0,2129251.0,,YNOR,hidrométrica,Satelital,,,
SIAP-92,Jagua Los Limones,302502.0,2121546.0,,YNOR,hidrométrica,Satelital,,,
SIAP-93,Bao Abajo Confluencia ,282891.0,2116835.0,,YNOR,hidrométrica,Satelital,,,
SIAP-94,Bao Sabaneta,292732.0,2124733.0,,YNOR,hidrométrica,Satelital,,,
SIAP-95,Bao Agua Caliente,300398.0,2128718.0,,YNOR,hidrométrica,Satelital,,,
SIAP-96,Contraembalse Monción,281535.0,2153761.0,,YNOR,hidrométrica,Satelital,,,
SIAP-97,Mao Meseta,280743.0,2151434.0,,YNOR,hidrométrica,Satelital,,,
SIAP-98,Presa de Monción,277438.0,2147063.0,,YNOR,hidrométrica,Satelital,,,
SIAP-121,Mao  La Cidra ,256590.0,2133781.0,,YNOR,hidrométrica,Satelital,,,
SIAP-106,San Juan Sabana Alta,277664.0,2071707.0,,YSUR,hidrométrica,Satelital,,,
SIAP-107,Yaque del Sur Los Gúiros,288586.0,2047831.0,,YSUR,hidrométrica,Satelital,,,
SIAP-108,Presa de Mijo,278507.0,2086895.0,,YSUR,hidrométrica,Satelital,,,
SIAP-109,Presa de Sabaneta,258845.0,2100561.0,,YSUR,hidrométrica,Satelital,,,
SIAP-110,San Juan Paso de Lima ,257919.0,2105850.0,,YSUR,hidrométrica,Satelital,,,
SIAP-111,San Juan Los Valencios,258828.0,2111276.0,,YSUR,hidrométrica,Satelital,,,
SIAP-112,Arroyo Limón el Rodeo,261362.0,2102994.0,,YSUR,hidrométrica,Satelital,,,
SIAP-113,Yaque del Sur el Aguacate,286143.0,2086141.0,,YSUR,hidrométrica,Satelital,,,
SIAP-114,Del Medio Palomino,294047.0,2080772.0,,YSUR,hidrométrica,Satelital,,,
SIAP-115,Las Cuevas Las Guamas,308907.0,2071396.0,,YSUR,hidrométrica,Satelital,,,
SIAP-116,Guayabal La Coja,306080.0,2074394.0,,YSUR,hidrométrica,Satelital,,,
SIAP-117,Mijo el Cacheo,276897.0,2082276.0,,YSUR,hidrométrica,Satelital,,,
SIAP-118,Maguana en Maguana Arriba,263591.0,2096887.0,,YSUR,hidrométrica,Satelital,,,
SIAP-119,Yaque del Sur Presa Sabana Yegua,284192.0,2069868.0,,YSUR,hidrométrica,Satelital,,,
SIAP-61,Camú Bayacanes,333274.0,2127250.0,,YUNA,hidrométrica,Satelital,,,
SIAP-62,Masipedro Los Arroces,347240.0,2098822.0,,YUNA,hidrométrica,Satelital,,,
SIAP-63,Jima Cañada de Piedra,349177.0,2103131.0,,YUNA,hidrométrica,Satelital,,,
SIAP-64,Yuna La Verde,354228.0,20970264.0,,YUNA,hidrométrica,Satelital,,,
SIAP-65,Yuna Platanal,382929.0,21143371.0,,YUNA,hidrométrica,Satelital,,,
SIAP-66,Presa de Hatillo,370403.7,2100046.4,,YUNA,hidrométrica,Satelital,,,
SIAP-67,Blanco Los Botados,334265.0,2086668.0,,YUNA,hidrométrica,Satelital,,,
SIAP-68,Tireo La Playa,333274.0,2088663.0,,YUNA,hidrométrica,Satelital,,,
SIAP-69,Presa de Blanco,335643.0,2089009.0,,YUNA,hidrométrica,Satelital,,,
SIAP-70,Presa de  Tireito,339668.0,2086109.0,,YUNA,hidrométrica,Satelital,,,
,Presa Arroyon,,,,,hidrométrica,Satelital,,,
SIAP-72,Arroyo Blanco el Torito,346517.0,2076095.0,,YUNA,hidrométrica,Satelital,,,
SIAP-73,Yuna Piedra Los Veganos,345550.0,2080098.0,,YUNA,hidrométrica,Satelital,,,
SIAP-74,Yuna Los Quemados,345919.0,2089037.0,,YUNA,hidrométrica,Satelital,,,
SIAP-75,Maimón,346823.0,2090281.0,,YUNA,hidrométrica,Satelital,,,
SIAP-76,Presa de Rincón,351984.0,2113055.0,,YUNA,hidrométrica,Satelital,,,
SIAP-84,Camú Guanabano,335227.0,2118522.0,,YUNA,hidrométrica,Satelital,,,
SIAP-71,Presa Cabeza de Caballo,220393.0,2152706.0,,,hidrométrica,Satelital,,,
SIAP-47,El Aguacate Nagua,413327.9,2123680.5,,ATLANTICA,pluviométrica,Satelital,,,
SIAP-48,El Novillo,345002.5,2077212.8,,YUNA,pluviométrica,Satelital,,,
,Bayahibe,552155.9,2017294.6,,ESTE,pluviométrica,Satelital,,,
SIAP-4,Higuey,531471.6,2058803.0,,ESTE,pluviométrica,Satelital,,,
SIAP-27,Palo de Caja,352224.0,2049484.9,,OZA-NIZ,pluviométrica,Satelital,,,
SIAP-30,Nizao-Rancho Arriba,330711.6,2070787.2,,OZA-NIZ,pluviométrica,Satelital,,,
SIAP-1,Las Matas de Santa Cruz,342231.5,2173352.0,,YNOR,pluviométrica,Satelital,,,
SIAP-3,Manabao,211164.3,2108675.6,,YNOR,pluviométrica,Satelital,,,
SIAP-4,Loma Quemada,292214.9,2113090.6,,YNOR,pluviométrica,Satelital,,,
SIAP-6,La Pita,329019.8,2103549.1,,YNOR,pluviométrica,Satelital,,,
SIAP-7,El Arroyaso,337127.8,2104336.8,,YNOR,pluviométrica,Satelital,,,
SIAP-9,Cruz de Cuaba,319005.8,2099370.1,,YNOR,pluviométrica,Satelital,,,
SIAP-15,Jima Rincón,353218.3,2116254.3,,YNOR,pluviométrica,Satelital,,,
SIAP-16,Juan Adrián (Los Platanos),359657.6,2075037.6,,YNOR,pluviométrica,Satelital,,,
SIAP-18,Magua Monción,275219.2,2145678.8,,YNOR,pluviométrica,Satelital,,,
SIAP-19,La Cidra,255723.6,2130734.5,,YNOR,pluviométrica,Satelital,,,
SIAP-21,Los Ramones,273800.3,2134869.3,,YNOR,pluviométrica,Satelital,,,
SIAP-22,La Diferencia,285120.7,2131441.3,,YNOR,pluviométrica,Satelital,,,
SIAP-24,Resbaloso,231575.1,2149595.9,,YNOR,pluviométrica,Satelital,,,
SIAP-25,El Cajuil (Los Pomos),226502.9,2140410.4,,YNOR,pluviométrica,Satelital,,,
SIAP-28,Alto Bandera,328604.3,2080645.5,,YNOR,pluviométrica,Satelital,,,
SIAP-34,Valle de Tetero,297970.3,2211228.2,,YNOR,pluviométrica,Satelital,,,
SIAP-A2842,Mano Javier,275928.0,2093689.2,,YNOR,pluviométrica,Satelital,,,
SIAP-45,Janey,212470.2,2121086.9,,YNOR,pluviométrica,Satelital,,,
SIAP-49,Valle de Bao,284865.0,1998339.0,,YNOR,pluviométrica,Satelital,,,
SIAP-50,Loma de la Tachuela,306221.1,2116074.7,,YNOR,pluviométrica,Satelital,,,
SIAP-54,Alto La Cotorra,308397.6,2106119.0,,YNOR,pluviométrica,Satelital,,,
SIAP-13,Loma del Medio,344418.3,2084442.9,,YNOR,pluviométrica,Satelital,,,
SIAP-46,Donaja,300472.6,2119672.8,,YNOR,pluviométrica,Satelital,,,
SIAP-33,El Naranjito,313565.1,2067136.3,,YSUR,pluviométrica,Satelital,,,
SIAP-37,Los Frios,291729.8,2088123.6,,YSUR,pluviométrica,Satelital,,,
SIAP-39,Los Pinales,264012.5,2116475.7,,YSUR,pluviométrica,Satelital,,,
SIAP-40,Barahona,275011.8,2016256.7,,YSUR,pluviométrica,Satelital,,,
SIAP-44,Las Cañitas,300265.5,2086923.1,,YSUR,pluviométrica,Satelital,,,
SIAP-51,Los Jobos,353757.9,2019867.5,,YSUR,pluviométrica,Satelital,,,
SIAP-53,Los Chicharrones ,290826.2,2124639.5,,YSUR,pluviométrica,Satelital,,,
SIAP-31,El Río,328695.8,2100139.0,,YSUR,pluviométrica,Satelital,,,
SIAP-36,Juancho,261107.6,1977546.6,,YSUR,pluviométrica,Satelital,,,
SIAP-10,Mechesito,339050.7,2083227.7,,YUNA,pluviométrica,Satelital,,,
SIAP-12,La Ceiba,335918.2,2089896.3,,YUNA,pluviométrica,Satelital,,,
4426,Los Arroyos,338694.0,2060619.0,1044,,climática,Convencional,,,
4425,El Memiso,334128.0,2047925.0,536,,climática,Convencional,,,
4401,Naranjal,344301.0,2052210.0,633,,climática,Convencional,,,
3402,Medina,379729.0,2049654.0,150,,climática,Convencional,,,
3401,Engombe,394347.0,2041314.0,10,,climática,Convencional,,,
3001,El Seibo,495395.0,2075299.0,109,,climática,Convencional,,,
2603,Naranjo de China,518049.0,2067227.0,154,,climática,Convencional,,,
2401,Higuey,531750.0,2058800.0,90,,climática,Convencional,,,
,Trepada Alta,451652.0,2098275.0,227,,climática,Automática,,,
,La Peñita,466033.0,2089593.0,344,,climática,Automática,,,
3812,Santana,372330.0,2021927.0,35,,climática,Automática,,,
,Pueblo Nuevo,413380.0,2103343.0,19,,climática,Automática,,,
3316,Comate,4353288.0,2073442.0,45,,climática,Automática,,,
3105,Hato Mayor,471450.0,2074750.0,102,,climática,Automática,,,
6693,Sabana de la Mar,459086.0,2106696.0,13,,climática,Automática,,,
6688,Bayahibe,516452.0,2035231.0,50,,climática,Automática,,,
6696,Citricos Dominicanos,369223.0,2073361.0,220,,climática,Automática,,,
411,Mata Grande,291113.0,2124831.0,938,,climática,Convencional,,,
401,Jarabacoa,331104.0,2115489.0,574,,climática,Convencional,,,
404,Santiago Isa,316600.0,2151038.0,169,,climática,Convencional,,,
405,Quinigua,313974.0,2154551.0,127,,climática,Convencional,,,
402,Tavera,319992.0,2133265.0,374,,climática,Convencional,,,
1814,Barraquito,417390.0,2114331.0,19,,climática,Convencional,,,
408,La Antona,248399.0,2172455.0,44,,climática,Convencional,,,
101,Don Miguel,218295.0,2157723.0,52,,climática,Convencional,,,
602,La Isabela,287340.0,2195484.0,222,,climática,Convencional,,,
1816,José Contreras,347059.0,2153197.0,694,,climática,Convencional,,,
1815,Angelina,371919.0,2115739.0,62,,climática,Convencional,,,
1817,Los Botados,334298.0,2087219.0,951,,climática,Convencional,,,
1802,Juma Bonao,354087.0,2090395.0,196,,climática,Convencional,,,
403,San José de las Matas,296903.5,2139186.2,530,,climática,Convencional,,,
407,Santiago Rodríguez,254772.0,2155388.0,120,,climática,Convencional,,,
1002,Cuesta Barrosa,352052.0,2173698.0,10,,climática,Convencional,,,
1501,Los Jengibres,390063.0,2149752.0,15,,climática,Convencional,,,
1801,San Francisco de Macorís,369672.0,2132978.0,110,,climática,Convencional,,,
1803,El Limón,413826,2117960,8,,climática,Convencional,,,
7313,Cebú,307993.0,2139880.0,256,,climática,Automática,,,
7300,Las Placetas,301563.0,2124899.0,837,,climática,Automática,,,
7322,La Cabirma,382406.0,2099943.0,60,,climática,Automática,,,
7318,Cercadillo,269819.0,2167853.0,80,,climática,Automática,,,
7315,Diego de Ocampo,317150.0,2167007.0,951,,climática,Automática,,,
5312,Angostura,246462.0,2021823.0,45,,climática,Convencional,,,
5302,Puerto Escondido,228266.0,2027525.0,414,,climática,Convencional,,,
5313,"Guayabal, Postrer Ríos",220014.0,2058319.0,174,,climática,Convencional,,,
4904,El Peñón,268773.0,2024454.0,22,,climática,Convencional,,,
5408,Catanamatías,246093.0,2108003.0,1086,,climática,Convencional,,,
4903,"San Juan, Km. 11",273172.0,2075533.0,423,,climática,Convencional,,,
4701,El Sisal,307321.0,2036559.0,352,,climática,Convencional,,,
4915,Vallejuelo,253449.0,2064287.0,709,,climática,Convencional,,,
5401,Matayaya,227341.0,2089938.0,434,,climática,Convencional,,,
5411,Sabana Mula,230960.0,2106583.0,516,,climática,Convencional,,,
4602,Resolí,317106.0,2042257.0,,,climática,Convencional,,,
4911,El Tetero,299645.0,2089144.0,,,climática,Convencional,,,
4983,El Valle-Constanza,318457.6,2091165.3,1200,,climática,Convencional,,,
5301,Neyba,242631.0,2047791.0,10,,climática,Convencional,,,
5410,Naranjito,237540.4,2134155.9,900,,climática,Convencional,,,
4916,"Guayabal, Padre las Casas",305959.7,2074193.5,710,,climática,Convencional,,,
6699,Peralta,314694.0,2055051.0,563,,climática,Automática,,,
6701,Higuerito,222994.0,2102847.0,467,,climática,Automática,,,
5104,El Platón Villa Nizao,266934.0,1996582.0,264,,climática,Automática,,,
6692,Estebanía,326600.0,2042350.0,97,,climática,Automática,,,
7319,Las Mercedes,217865.0,2006300.0,632,,climática,Automática,,,
7307,Higuerito,254671.0,1988397.0,266,,climática,Automática,,,
,Las Lajitas,252019.0,2050322.0,169,,climática,Automática,,,
7316,Los Copeyes,243072.0,2102549.0,622.0,,climática,Automática,,,
7309,Isla Cabritos,212599.0,2047172.0,-14.0,,climática,Automática,,,
4001,El Recodo,358514.0,2031887.0,221.0,,pluviométrica,Convencional,,,
4003,Distrito de Riego,361899.0,2020373.0,199.0,,pluviométrica,Convencional,,,
3305,El Higuero,394984.0,2058398.0,13.0,,pluviométrica,Convencional,,,
3302,El Cacique,409225.0,2080762.0,37.0,,pluviométrica,Convencional,,,
3308,Los Hidalgos,430813.0,2088654.0,108.0,,pluviométrica,Convencional,,,
3002,Paso Al Medio,481750.0,2052999.0,28.0,,pluviométrica,Convencional,,,
2602,Guanito,521708.0,2059680.0,71.0,,pluviométrica,Convencional,,,
2601,Santa Lucía,506202.0,2065648.0,87.0,,pluviométrica,Convencional,,,
2301,Anamuya,539288.0,2066653.0,51.0,,pluviométrica,Convencional,,,
,Santana,360655.0,2056371.0,615.0,,pluviométrica,Convencional,,,
3003,Pedro Sánchez,484729.0,2089702.6,500.0,,pluviométrica,Convencional,,,
3303,El Cerro,418741.0,2077213.0,22.0,,pluviométrica,Convencional,,,
3301,Don Juan,399875.0,2081099.0,83.0,,pluviométrica,Convencional,,,
3307,Comatillo,435207.6,2083692.3,150.0,,pluviométrica,Convencional,,,
3314,Mata Mamón,414129.2,2056635.5,12.0,,pluviométrica,Convencional,,,
3404,Presa Isa,372444.2,2056040.2,280.0,,pluviométrica,Convencional,,,
3601,El tablazo,375297.9,2035178.9,137.0,,pluviométrica,Convencional,,,
3801,Nizao ,346815.3,2058843.2,580.0,,pluviométrica,Convencional,,,
3804,La Laguna,350914.0,2050724.8,1170.0,,pluviométrica,Convencional,,,
3806,Palo de Caja,352224.0,2049484.9,680.0,,pluviométrica,Convencional,,,
4301,Matanza ,352576.8,2019046.4,60.0,,pluviométrica,Convencional,,,
4402,Rancho del Pino,323898.7,2053354.2,860.0,,pluviométrica,Convencional,,,
4405,Las Ciénagas de Ocoa,329666.3,2055576.8,790.0,,pluviométrica,Convencional,,,
4414,La Malagueta ,340015.3,2058930.2,1220.0,,pluviométrica,Convencional,,,
4416,Pinar de Ocoa,336193.2,2050846.0,600.0,,pluviométrica,Convencional,,,
4417,El Bejucal,334134.8,2056920.8,840.0,,pluviométrica,Convencional,,,
