"Date","Discharge"
"2014-01-01 03:00:00",8.37
"2014-01-02 03:00:00",8.66
"2014-01-03 03:00:00",9.2
"2014-01-04 03:00:00",10.14
"2014-01-05 03:00:00",9.88
"2014-01-06 03:00:00",9.25
"2014-01-07 03:00:00",8.89
"2014-01-08 03:00:00",8.18
"2014-01-09 03:00:00",8.42
"2014-01-10 03:00:00",11.15
"2014-01-11 03:00:00",18.75
"2014-01-12 03:00:00",16.95
"2014-01-13 03:00:00",12.54
"2014-01-14 03:00:00",10.26
"2014-01-15 03:00:00",9.44
"2014-01-16 03:00:00",8.9
"2014-01-17 03:00:00",8.01
"2014-01-18 03:00:00",7.39
"2014-01-19 03:00:00",6.85
"2014-01-20 03:00:00",6.2
"2014-01-21 03:00:00",5.75
"2014-01-22 03:00:00",5.71
"2014-01-23 03:00:00",6.37
"2014-01-24 03:00:00",7.22
"2014-01-25 03:00:00",13.58
"2014-01-26 03:00:00",23.82
"2014-01-27 03:00:00",18.56
"2014-01-28 03:00:00",13.65
"2014-01-29 03:00:00",10.68
"2014-01-30 03:00:00",14.35
"2014-01-31 03:00:00",58.81
"2014-02-01 03:00:00",171.6
"2014-02-02 03:00:00",262.19
"2014-02-03 03:00:00",292.84
"2014-02-04 03:00:00",369.08
"2014-02-05 03:00:00",398.83
"2014-02-06 03:00:00",467.46
"2014-02-07 03:00:00",639.24
"2014-02-08 03:00:00",825.07
"2014-02-09 03:00:00",902.43
"2014-02-10 03:00:00",772.16
"2014-02-11 03:00:00",492.98
"2014-02-12 03:00:00",231.46
"2014-02-13 03:00:00",107.39
"2014-02-14 03:00:00",74.87
"2014-02-15 03:00:00",99.21
"2014-02-16 03:00:00",88.4
"2014-02-17 03:00:00",56.53
"2014-02-18 03:00:00",32.46
"2014-02-19 03:00:00",28.59
"2014-02-20 03:00:00",23.91
"2014-02-21 03:00:00",24.18
"2014-02-22 03:00:00",35.41
"2014-02-23 03:00:00",93.14
"2014-02-24 03:00:00",71.58
"2014-02-25 03:00:00",88.14
"2014-02-26 03:00:00",88.84
"2014-02-27 03:00:00",68.75
"2014-02-28 03:00:00",49.79
"2014-03-01 03:00:00",39.69
