"Date","Discharge"
"2014-01-01 03:00:00",4.39
"2014-01-02 03:00:00",4.94
"2014-01-03 03:00:00",5.25
"2014-01-04 03:00:00",9.84
"2014-01-05 03:00:00",16.72
"2014-01-06 03:00:00",19.52
"2014-01-07 03:00:00",19.18
"2014-01-08 03:00:00",18.93
"2014-01-09 03:00:00",26.56
"2014-01-10 03:00:00",34.3
"2014-01-11 03:00:00",37.74
"2014-01-12 03:00:00",47.74
"2014-01-13 03:00:00",59.47
"2014-01-14 03:00:00",66.9
"2014-01-15 03:00:00",70.06
"2014-01-16 03:00:00",72.94
"2014-01-17 03:00:00",76.74
"2014-01-18 03:00:00",81.98
"2014-01-19 03:00:00",87.16
"2014-01-20 03:00:00",93.8
"2014-01-21 03:00:00",101.84
"2014-01-22 03:00:00",112.96
"2014-01-23 03:00:00",126.93
"2014-01-24 03:00:00",141.11
"2014-01-25 03:00:00",151.48
"2014-01-26 03:00:00",153.31
"2014-01-27 03:00:00",140.51
"2014-01-28 03:00:00",111.6
"2014-01-29 03:00:00",83.83
"2014-01-30 03:00:00",79.52
"2014-01-31 03:00:00",104.17
"2014-02-01 03:00:00",124.55
"2014-02-02 03:00:00",156.75
"2014-02-03 03:00:00",218.72
"2014-02-04 03:00:00",289.17
"2014-02-05 03:00:00",348.17
"2014-02-06 03:00:00",386.1
"2014-02-07 03:00:00",405.23
"2014-02-08 03:00:00",419.62
"2014-02-09 03:00:00",453.3
"2014-02-10 03:00:00",480.83
"2014-02-11 03:00:00",490.81
"2014-02-12 03:00:00",490.97
"2014-02-13 03:00:00",468.57
"2014-02-14 03:00:00",430.48
"2014-02-15 03:00:00",404.73
"2014-02-16 03:00:00",384.52
"2014-02-17 03:00:00",349.32
"2014-02-18 03:00:00",290.45
"2014-02-19 03:00:00",218.2
"2014-02-20 03:00:00",160.41
"2014-02-21 03:00:00",130.89
"2014-02-22 03:00:00",109.14
"2014-02-23 03:00:00",102.07
"2014-02-24 03:00:00",106.35
"2014-02-25 03:00:00",120.33
"2014-02-26 03:00:00",132.27
"2014-02-27 03:00:00",149.74
"2014-02-28 03:00:00",173.7
"2014-03-01 03:00:00",196.91
"2014-03-02 03:00:00",209.49
"2014-03-03 03:00:00",213.34
"2014-03-04 03:00:00",213.36
"2014-03-05 03:00:00",214.6
"2014-03-06 03:00:00",223.39
"2014-03-07 03:00:00",231.21
"2014-03-08 03:00:00",234.48
"2014-03-09 03:00:00",236.28
"2014-03-10 03:00:00",237.03
"2014-03-11 03:00:00",232.4
"2014-03-12 03:00:00",222.98
"2014-03-13 03:00:00",209.26
"2014-03-14 03:00:00",191.48
"2014-03-15 03:00:00",172.95
"2014-03-16 03:00:00",144.32
"2014-03-17 03:00:00",117.18
"2014-03-18 03:00:00",106.11
"2014-03-19 03:00:00",113.67
"2014-03-20 03:00:00",128.63
"2014-03-21 03:00:00",150.28
"2014-03-22 03:00:00",171.39
"2014-03-23 03:00:00",186.8
"2014-03-24 03:00:00",202.35
"2014-03-25 03:00:00",223.79
"2014-03-26 03:00:00",251.64
"2014-03-27 03:00:00",279.99
"2014-03-28 03:00:00",301.9
"2014-03-29 03:00:00",317.46
"2014-03-30 03:00:00",321.08
"2014-03-31 03:00:00",315.98
"2014-04-01 03:00:00",298.32
"2014-04-02 03:00:00",262.49
"2014-04-03 03:00:00",209.17
"2014-04-04 03:00:00",155.69
"2014-04-05 03:00:00",118.8
"2014-04-06 03:00:00",102.25
"2014-04-07 03:00:00",98.02
"2014-04-08 03:00:00",109.25
"2014-04-09 03:00:00",161.13
"2014-04-10 03:00:00",206.39
"2014-04-11 03:00:00",222.51
"2014-04-12 03:00:00",236.93
"2014-04-13 03:00:00",247.23
"2014-04-14 03:00:00",252.53
"2014-04-15 03:00:00",250.13
"2014-04-16 03:00:00",241.5
"2014-04-17 03:00:00",231.71
"2014-04-18 03:00:00",221.25
"2014-04-19 03:00:00",212.31
"2014-04-20 03:00:00",208.77
"2014-04-21 03:00:00",208.04
"2014-04-22 03:00:00",206.33
"2014-04-23 03:00:00",197.32
"2014-04-24 03:00:00",175.19
"2014-04-25 03:00:00",137.1
"2014-04-26 03:00:00",103.62
"2014-04-27 03:00:00",75.31
"2014-04-28 03:00:00",55.42
"2014-04-29 03:00:00",47.26
"2014-04-30 03:00:00",42.57
"2014-05-01 03:00:00",48.83
"2014-05-02 03:00:00",52.88
"2014-05-03 03:00:00",56.82
"2014-05-04 03:00:00",60.97
"2014-05-05 03:00:00",95.47
"2014-05-06 03:00:00",140.73
"2014-05-07 03:00:00",166.64
"2014-05-08 03:00:00",176.9
"2014-05-09 03:00:00",180.99
"2014-05-10 03:00:00",177.33
"2014-05-11 03:00:00",164.45
"2014-05-12 03:00:00",148.04
"2014-05-13 03:00:00",130.98
"2014-05-14 03:00:00",111.78
"2014-05-15 03:00:00",89.19
"2014-05-16 03:00:00",67.89
"2014-05-17 03:00:00",54
"2014-05-18 03:00:00",46.49
"2014-05-19 03:00:00",42.11
"2014-05-20 03:00:00",39.93
"2014-05-21 03:00:00",40.03
"2014-05-22 03:00:00",43.06
"2014-05-23 03:00:00",46.61
"2014-05-24 03:00:00",44.66
"2014-05-25 03:00:00",41.18
"2014-05-26 03:00:00",38.83
"2014-05-27 03:00:00",38.66
"2014-05-28 03:00:00",39.73
"2014-05-29 03:00:00",39.25
