"Date","Discharge"
"2014-01-01 03:00:00",236
"2014-01-02 03:00:00",233
"2014-01-03 03:00:00",232
"2014-01-04 03:00:00",227
"2014-01-05 03:00:00",219
"2014-01-06 03:00:00",216
"2014-01-07 03:00:00",213
"2014-01-08 03:00:00",209
"2014-01-09 03:00:00",206
"2014-01-10 03:00:00",211
"2014-01-11 03:00:00",217
"2014-01-12 03:00:00",223
"2014-01-13 03:00:00",228
"2014-01-14 03:00:00",232
"2014-01-15 03:00:00",227
"2014-01-16 03:00:00",222
"2014-01-17 03:00:00",216
"2014-01-18 03:00:00",212
"2014-01-19 03:00:00",206
"2014-01-20 03:00:00",204
"2014-01-21 03:00:00",204
"2014-01-22 03:00:00",201
"2014-01-23 03:00:00",199
"2014-01-24 03:00:00",199
"2014-01-25 03:00:00",196
"2014-01-26 03:00:00",198
"2014-01-27 03:00:00",207
"2014-01-28 03:00:00",216
"2014-01-29 03:00:00",225
"2014-01-30 03:00:00",231
"2014-01-31 03:00:00",216
"2014-02-01 03:00:00",198
"2014-02-02 03:00:00",182
"2014-02-03 03:00:00",167
"2014-02-04 03:00:00",159
"2014-02-05 03:00:00",155
"2014-02-06 03:00:00",153
"2014-02-07 03:00:00",150
"2014-02-08 03:00:00",149
"2014-02-09 03:00:00",148
"2014-02-10 03:00:00",146
"2014-02-11 03:00:00",143
"2014-02-12 03:00:00",142
"2014-02-13 03:00:00",142
"2014-02-14 03:00:00",141
"2014-02-15 03:00:00",140
"2014-02-16 03:00:00",138
"2014-02-17 03:00:00",136
"2014-02-18 03:00:00",134
"2014-02-19 03:00:00",135
"2014-02-20 03:00:00",143
"2014-02-21 03:00:00",154
"2014-02-22 03:00:00",159
"2014-02-23 03:00:00",172
"2014-02-24 03:00:00",190
"2014-02-25 03:00:00",218
"2014-02-26 03:00:00",243
"2014-02-27 03:00:00",264
"2014-02-28 03:00:00",287
"2014-03-01 03:00:00",303
"2014-03-02 03:00:00",299
"2014-03-03 03:00:00",297
"2014-03-04 03:00:00",299
"2014-03-05 03:00:00",289
"2014-03-06 03:00:00",284
"2014-03-07 03:00:00",281
"2014-03-08 03:00:00",276
"2014-03-09 03:00:00",270
"2014-03-10 03:00:00",267
"2014-03-11 03:00:00",268
"2014-03-12 03:00:00",276
"2014-03-13 03:00:00",285
"2014-03-14 03:00:00",293
"2014-03-15 03:00:00",301
"2014-03-16 03:00:00",309
"2014-03-17 03:00:00",318
"2014-03-18 03:00:00",327
"2014-03-19 03:00:00",339
"2014-03-20 03:00:00",350
"2014-03-21 03:00:00",364
"2014-03-22 03:00:00",377
"2014-03-23 03:00:00",391
"2014-03-24 03:00:00",405
"2014-03-25 03:00:00",416
"2014-03-26 03:00:00",430
"2014-03-27 03:00:00",442
"2014-03-28 03:00:00",429
"2014-03-29 03:00:00",414
"2014-03-30 03:00:00",401
"2014-03-31 03:00:00",394
"2014-04-01 03:00:00",388
"2014-04-02 03:00:00",383
"2014-04-03 03:00:00",373
"2014-04-04 03:00:00",360
"2014-04-05 03:00:00",342
"2014-04-06 03:00:00",323
"2014-04-07 03:00:00",305
"2014-04-08 03:00:00",286
"2014-04-09 03:00:00",271
"2014-04-10 03:00:00",263
"2014-04-11 03:00:00",267
"2014-04-12 03:00:00",271
"2014-04-13 03:00:00",278
"2014-04-14 03:00:00",285
"2014-04-15 03:00:00",290
"2014-04-16 03:00:00",294
"2014-04-17 03:00:00",298
"2014-04-18 03:00:00",302
"2014-04-19 03:00:00",305
"2014-04-20 03:00:00",307
"2014-04-21 03:00:00",306
"2014-04-22 03:00:00",303
"2014-04-23 03:00:00",300
"2014-04-24 03:00:00",298
"2014-04-25 03:00:00",297
"2014-04-26 03:00:00",293
"2014-04-27 03:00:00",289
"2014-04-28 03:00:00",288
"2014-04-29 03:00:00",287
"2014-04-30 03:00:00",286
"2014-05-01 03:00:00",285
"2014-05-02 03:00:00",284
"2014-05-03 03:00:00",281
"2014-05-04 03:00:00",284
"2014-05-05 03:00:00",297
"2014-05-06 03:00:00",314
"2014-05-07 03:00:00",331
"2014-05-08 03:00:00",347
"2014-05-09 03:00:00",365
"2014-05-10 03:00:00",379
"2014-05-11 03:00:00",387
"2014-05-12 03:00:00",376
"2014-05-13 03:00:00",362
"2014-05-14 03:00:00",346
"2014-05-15 03:00:00",335
"2014-05-16 03:00:00",324
"2014-05-17 03:00:00",314
"2014-05-18 03:00:00",304
"2014-05-19 03:00:00",302
"2014-05-20 03:00:00",295
"2014-05-21 03:00:00",286
"2014-05-22 03:00:00",281
"2014-05-23 03:00:00",278
"2014-05-24 03:00:00",288
"2014-05-25 03:00:00",304
"2014-05-26 03:00:00",324
"2014-05-27 03:00:00",342
"2014-05-28 03:00:00",365
"2014-05-29 03:00:00",387
"2014-05-30 03:00:00",406
"2014-05-31 03:00:00",422
"2014-06-01 03:00:00",414
"2014-06-02 03:00:00",401
"2014-06-03 03:00:00",381
"2014-06-04 03:00:00",374
"2014-06-05 03:00:00",372
"2014-06-06 03:00:00",371
"2014-06-07 03:00:00",368
"2014-06-08 03:00:00",367
"2014-06-09 03:00:00",364
"2014-06-10 03:00:00",363
"2014-06-11 03:00:00",361
"2014-06-12 03:00:00",359
"2014-06-13 03:00:00",354
"2014-06-14 03:00:00",350
"2014-06-15 03:00:00",349
"2014-06-16 03:00:00",343
"2014-06-17 03:00:00",335
"2014-06-18 03:00:00",324
"2014-06-19 03:00:00",314
"2014-06-20 03:00:00",305
"2014-06-21 03:00:00",299
"2014-06-22 03:00:00",293
"2014-06-23 03:00:00",287
"2014-06-24 03:00:00",285
"2014-06-25 03:00:00",283
"2014-06-26 03:00:00",281
"2014-06-27 03:00:00",277
"2014-06-28 03:00:00",275
"2014-06-29 03:00:00",272
"2014-06-30 03:00:00",271
"2014-07-01 03:00:00",269
"2014-07-02 03:00:00",268
"2014-07-03 03:00:00",268
"2014-07-04 03:00:00",275
"2014-07-05 03:00:00",284
"2014-07-06 03:00:00",293
"2014-07-07 03:00:00",299
"2014-07-08 03:00:00",301
"2014-07-09 03:00:00",302
"2014-07-10 03:00:00",305
"2014-07-11 03:00:00",308
"2014-07-12 03:00:00",313
"2014-07-13 03:00:00",315
"2014-07-14 03:00:00",319
"2014-07-15 03:00:00",323
"2014-07-16 03:00:00",326
"2014-07-17 03:00:00",326
"2014-07-18 03:00:00",324
"2014-07-19 03:00:00",320
"2014-07-20 03:00:00",317
"2014-07-21 03:00:00",314
"2014-07-22 03:00:00",311
"2014-07-23 03:00:00",310
"2014-07-24 03:00:00",305
"2014-07-25 03:00:00",301
"2014-07-26 03:00:00",298
