COMID,order_,watershed,subbasin,region
9022318,1,south_america,geoglows,Amazon_River
9022387,1,south_america,geoglows,Amazon_River
9022403,4,south_america,geoglows,Amazon_River
9022416,3,south_america,geoglows,Amazon_River
9022432,3,south_america,geoglows,Amazon_River
9022460,2,south_america,geoglows,Amazon_River
9022523,3,south_america,geoglows,Amazon_River
9022559,4,south_america,geoglows,Amazon_River
9022566,3,south_america,geoglows,Amazon_River
9022582,1,south_america,geoglows,Amazon_River
9022602,1,south_america,geoglows,Amazon_River
9022627,1,south_america,geoglows,Amazon_River
9022644,1,south_america,geoglows,Amazon_River
9022655,2,south_america,geoglows,Amazon_River
9022656,2,south_america,geoglows,Amazon_River
9022739,2,south_america,geoglows,Amazon_River
9022743,4,south_america,geoglows,Amazon_River
9022748,1,south_america,geoglows,Amazon_River
9022811,1,south_america,geoglows,Amazon_River
9022827,4,south_america,geoglows,Amazon_River
9022828,2,south_america,geoglows,Amazon_River
9022848,1,south_america,geoglows,Amazon_River
9022941,1,south_america,geoglows,Amazon_River
9023027,1,south_america,geoglows,Amazon_River
9023028,1,south_america,geoglows,Amazon_River
9023063,1,south_america,geoglows,Amazon_River
9023114,2,south_america,geoglows,Amazon_River
9023119,4,south_america,geoglows,Amazon_River
9023132,2,south_america,geoglows,Amazon_River
9023148,2,south_america,geoglows,Amazon_River
9023159,2,south_america,geoglows,Amazon_River
9023160,1,south_america,geoglows,Amazon_River
9023170,1,south_america,geoglows,Amazon_River
9023190,3,south_america,geoglows,Amazon_River
9023218,3,south_america,geoglows,Amazon_River
9023219,1,south_america,geoglows,Amazon_River
9023336,1,south_america,geoglows,Amazon_River
9023345,4,south_america,geoglows,Amazon_River
9023346,4,south_america,geoglows,Amazon_River
9023381,1,south_america,geoglows,Amazon_River
9023387,4,south_america,geoglows,Amazon_River
9023455,1,south_america,geoglows,Amazon_River
9023463,1,south_america,geoglows,Amazon_River
9023468,4,south_america,geoglows,Amazon_River
9023488,1,south_america,geoglows,Amazon_River
9023492,2,south_america,geoglows,Amazon_River
9023509,1,south_america,geoglows,Amazon_River
9023510,1,south_america,geoglows,Amazon_River
9023535,1,south_america,geoglows,Amazon_River
9023536,3,south_america,geoglows,Amazon_River
9023549,1,south_america,geoglows,Amazon_River
9023561,2,south_america,geoglows,Amazon_River
9023566,1,south_america,geoglows,Amazon_River
9023595,2,south_america,geoglows,Amazon_River
9023604,1,south_america,geoglows,Amazon_River
9023635,1,south_america,geoglows,Amazon_River
9023636,3,south_america,geoglows,Amazon_River
9023637,1,south_america,geoglows,Amazon_River
9023692,1,south_america,geoglows,Amazon_River
9023702,2,south_america,geoglows,Amazon_River
9023703,4,south_america,geoglows,Amazon_River
9023708,2,south_america,geoglows,Amazon_River
9023710,4,south_america,geoglows,Amazon_River
9023711,4,south_america,geoglows,Amazon_River
9023761,1,south_america,geoglows,Amazon_River
9023775,1,south_america,geoglows,Amazon_River
9023808,1,south_america,geoglows,Amazon_River
9023813,1,south_america,geoglows,Amazon_River
9023818,1,south_america,geoglows,Amazon_River
9023833,3,south_america,geoglows,Amazon_River
9023834,2,south_america,geoglows,Amazon_River
9023847,1,south_america,geoglows,Amazon_River
9023856,3,south_america,geoglows,Amazon_River
9023861,4,south_america,geoglows,Amazon_River
9023866,1,south_america,geoglows,Amazon_River
9023876,4,south_america,geoglows,Amazon_River
9023877,4,south_america,geoglows,Amazon_River
9023915,4,south_america,geoglows,Amazon_River
9023924,4,south_america,geoglows,Amazon_River
9023929,4,south_america,geoglows,Amazon_River
9023945,4,south_america,geoglows,Amazon_River
9023977,1,south_america,geoglows,Amazon_River
9024000,3,south_america,geoglows,Amazon_River
9024013,2,south_america,geoglows,Amazon_River
9024016,2,south_america,geoglows,Amazon_River
9024017,2,south_america,geoglows,Amazon_River
9024067,2,south_america,geoglows,Amazon_River
9024095,1,south_america,geoglows,Amazon_River
9024096,5,south_america,geoglows,Amazon_River
9024109,3,south_america,geoglows,Amazon_River
9024154,1,south_america,geoglows,Amazon_River
9024171,2,south_america,geoglows,Amazon_River
9024172,1,south_america,geoglows,Amazon_River
9024180,4,south_america,geoglows,Amazon_River
9024182,3,south_america,geoglows,Amazon_River
9024183,1,south_america,geoglows,Amazon_River
9024206,2,south_america,geoglows,Amazon_River
9024215,1,south_america,geoglows,Amazon_River
9024240,5,south_america,geoglows,Amazon_River
9024241,2,south_america,geoglows,Amazon_River
9024246,4,south_america,geoglows,Amazon_River
9024258,4,south_america,geoglows,Amazon_River
9024259,1,south_america,geoglows,Amazon_River
9024326,3,south_america,geoglows,Amazon_River
9024331,5,south_america,geoglows,Amazon_River
9024391,1,south_america,geoglows,Amazon_River
9024392,1,south_america,geoglows,Amazon_River
9024481,1,south_america,geoglows,Amazon_River
9024491,1,south_america,geoglows,Amazon_River
9024493,3,south_america,geoglows,Amazon_River
9024498,2,south_america,geoglows,Amazon_River
9024537,4,south_america,geoglows,Amazon_River
9024555,1,south_america,geoglows,Amazon_River
9024556,1,south_america,geoglows,Amazon_River
9024567,1,south_america,geoglows,Amazon_River
9024576,5,south_america,geoglows,Amazon_River
9024600,2,south_america,geoglows,Amazon_River
9024620,4,south_america,geoglows,Amazon_River
9024632,1,south_america,geoglows,Amazon_River
9024641,2,south_america,geoglows,Amazon_River
9024642,1,south_america,geoglows,Amazon_River
9024645,4,south_america,geoglows,Amazon_River
9024677,1,south_america,geoglows,Amazon_River
9024684,4,south_america,geoglows,Amazon_River
9024722,1,south_america,geoglows,Amazon_River
9024749,1,south_america,geoglows,Amazon_River
9024758,2,south_america,geoglows,Amazon_River
9024759,2,south_america,geoglows,Amazon_River
9024784,1,south_america,geoglows,Amazon_River
9024799,1,south_america,geoglows,Amazon_River
9024820,4,south_america,geoglows,Amazon_River
9024821,2,south_america,geoglows,Amazon_River
9024835,2,south_america,geoglows,Amazon_River
9024880,2,south_america,geoglows,Amazon_River
9024922,1,south_america,geoglows,Amazon_River
9024923,4,south_america,geoglows,Amazon_River
9024936,1,south_america,geoglows,Amazon_River
9024954,3,south_america,geoglows,Amazon_River
9024962,4,south_america,geoglows,Amazon_River
9024963,1,south_america,geoglows,Amazon_River
9024982,3,south_america,geoglows,Amazon_River
9024984,1,south_america,geoglows,Amazon_River
9024991,4,south_america,geoglows,Amazon_River
9025009,1,south_america,geoglows,Amazon_River
9025021,1,south_america,geoglows,Amazon_River
9025045,1,south_america,geoglows,Amazon_River
9025152,4,south_america,geoglows,Amazon_River
9025169,1,south_america,geoglows,Amazon_River
9025196,1,south_america,geoglows,Amazon_River
9025197,1,south_america,geoglows,Amazon_River
9025216,2,south_america,geoglows,Amazon_River
9025224,1,south_america,geoglows,Amazon_River
9025225,1,south_america,geoglows,Amazon_River
9025229,1,south_america,geoglows,Amazon_River
9025240,4,south_america,geoglows,Amazon_River
9025248,1,south_america,geoglows,Amazon_River
9025257,4,south_america,geoglows,Amazon_River
9025259,4,south_america,geoglows,Amazon_River
9025260,1,south_america,geoglows,Amazon_River
9025272,1,south_america,geoglows,Amazon_River
9025283,1,south_america,geoglows,Amazon_River
9025284,2,south_america,geoglows,Amazon_River
9025337,1,south_america,geoglows,Amazon_River
9025380,1,south_america,geoglows,Amazon_River
9025423,1,south_america,geoglows,Amazon_River
9025424,2,south_america,geoglows,Amazon_River
9025460,1,south_america,geoglows,Amazon_River
9025462,2,south_america,geoglows,Amazon_River
9025464,1,south_america,geoglows,Amazon_River
9025470,4,south_america,geoglows,Amazon_River
9025471,2,south_america,geoglows,Amazon_River
9025476,1,south_america,geoglows,Amazon_River
9025477,1,south_america,geoglows,Amazon_River
9025514,3,south_america,geoglows,Amazon_River
9025515,2,south_america,geoglows,Amazon_River
9025516,1,south_america,geoglows,Amazon_River
9025534,2,south_america,geoglows,Amazon_River
9025535,1,south_america,geoglows,Amazon_River
9025536,4,south_america,geoglows,Amazon_River
9025574,1,south_america,geoglows,Amazon_River
9025575,2,south_america,geoglows,Amazon_River
9025579,1,south_america,geoglows,Amazon_River
9025596,1,south_america,geoglows,Amazon_River
9025616,2,south_america,geoglows,Amazon_River
9025655,2,south_america,geoglows,Amazon_River
9025692,1,south_america,geoglows,Amazon_River
9025693,4,south_america,geoglows,Amazon_River
9025702,2,south_america,geoglows,Amazon_River
9025703,2,south_america,geoglows,Amazon_River
9025762,3,south_america,geoglows,Amazon_River
9025763,1,south_america,geoglows,Amazon_River
9025804,4,south_america,geoglows,Amazon_River
9025813,1,south_america,geoglows,Amazon_River
9025843,1,south_america,geoglows,Amazon_River
9025862,2,south_america,geoglows,Amazon_River
9025900,1,south_america,geoglows,Amazon_River
9025939,2,south_america,geoglows,Amazon_River
9025952,1,south_america,geoglows,Amazon_River
9025955,3,south_america,geoglows,Amazon_River
9025965,3,south_america,geoglows,Amazon_River
9025982,1,south_america,geoglows,Amazon_River
9026016,1,south_america,geoglows,Amazon_River
9026026,3,south_america,geoglows,Amazon_River
9026037,2,south_america,geoglows,Amazon_River
9026059,1,south_america,geoglows,Amazon_River
9026060,1,south_america,geoglows,Amazon_River
9026062,1,south_america,geoglows,Amazon_River
9026063,1,south_america,geoglows,Amazon_River
9026099,4,south_america,geoglows,Amazon_River
9026134,2,south_america,geoglows,Amazon_River
9026137,3,south_america,geoglows,Amazon_River
9026165,4,south_america,geoglows,Amazon_River
9026166,3,south_america,geoglows,Amazon_River
9026177,1,south_america,geoglows,Amazon_River
9026182,1,south_america,geoglows,Amazon_River
9026234,1,south_america,geoglows,Amazon_River
9026266,3,south_america,geoglows,Amazon_River
9026291,3,south_america,geoglows,Amazon_River
9026292,4,south_america,geoglows,Amazon_River
9026293,2,south_america,geoglows,Amazon_River
9026324,1,south_america,geoglows,Amazon_River
9026338,1,south_america,geoglows,Amazon_River
9026339,2,south_america,geoglows,Amazon_River
9026347,1,south_america,geoglows,Amazon_River
9026382,2,south_america,geoglows,Amazon_River
9026383,1,south_america,geoglows,Amazon_River
9026385,1,south_america,geoglows,Amazon_River
9026386,1,south_america,geoglows,Amazon_River
9026410,4,south_america,geoglows,Amazon_River
9026443,4,south_america,geoglows,Amazon_River
9026446,1,south_america,geoglows,Amazon_River
9026565,3,south_america,geoglows,Amazon_River
9026598,4,south_america,geoglows,Amazon_River
9026599,1,south_america,geoglows,Amazon_River
9026600,2,south_america,geoglows,Amazon_River
9026605,2,south_america,geoglows,Amazon_River
9026608,1,south_america,geoglows,Amazon_River
9026609,3,south_america,geoglows,Amazon_River
9026612,1,south_america,geoglows,Amazon_River
9026613,1,south_america,geoglows,Amazon_River
9026614,1,south_america,geoglows,Amazon_River
9026623,4,south_america,geoglows,Amazon_River
9026628,2,south_america,geoglows,Amazon_River
9026629,1,south_america,geoglows,Amazon_River
9026635,4,south_america,geoglows,Amazon_River
9026645,4,south_america,geoglows,Amazon_River
9026648,1,south_america,geoglows,Amazon_River
9026652,4,south_america,geoglows,Amazon_River
9026653,1,south_america,geoglows,Amazon_River
9026682,3,south_america,geoglows,Amazon_River
9026691,3,south_america,geoglows,Amazon_River
9026692,3,south_america,geoglows,Amazon_River
9026718,1,south_america,geoglows,Amazon_River
9026727,1,south_america,geoglows,Amazon_River
9026741,5,south_america,geoglows,Amazon_River
9026746,2,south_america,geoglows,Amazon_River
9026747,3,south_america,geoglows,Amazon_River
9026753,4,south_america,geoglows,Amazon_River
9026754,1,south_america,geoglows,Amazon_River
9026761,2,south_america,geoglows,Amazon_River
9026762,1,south_america,geoglows,Amazon_River
9026763,1,south_america,geoglows,Amazon_River
9026764,2,south_america,geoglows,Amazon_River
9026775,2,south_america,geoglows,Amazon_River
9026784,1,south_america,geoglows,Amazon_River
9026812,2,south_america,geoglows,Amazon_River
9026826,4,south_america,geoglows,Amazon_River
9026836,1,south_america,geoglows,Amazon_River
9026840,2,south_america,geoglows,Amazon_River
9026841,1,south_america,geoglows,Amazon_River
9026858,1,south_america,geoglows,Amazon_River
9026866,1,south_america,geoglows,Amazon_River
9026870,4,south_america,geoglows,Amazon_River
9026891,1,south_america,geoglows,Amazon_River
9026900,1,south_america,geoglows,Amazon_River
9026956,1,south_america,geoglows,Amazon_River
9026975,3,south_america,geoglows,Amazon_River
9027012,1,south_america,geoglows,Amazon_River
9027044,3,south_america,geoglows,Amazon_River
9027049,1,south_america,geoglows,Amazon_River
9027055,2,south_america,geoglows,Amazon_River
9027056,1,south_america,geoglows,Amazon_River
9027071,2,south_america,geoglows,Amazon_River
9027072,2,south_america,geoglows,Amazon_River
9027142,2,south_america,geoglows,Amazon_River
9027198,1,south_america,geoglows,Amazon_River
9027203,1,south_america,geoglows,Amazon_River
9027221,1,south_america,geoglows,Amazon_River
9027243,1,south_america,geoglows,Amazon_River
9027259,5,south_america,geoglows,Amazon_River
9027260,4,south_america,geoglows,Amazon_River
9027261,2,south_america,geoglows,Amazon_River
9027276,1,south_america,geoglows,Amazon_River
9027280,1,south_america,geoglows,Amazon_River
9027281,1,south_america,geoglows,Amazon_River
9027293,1,south_america,geoglows,Amazon_River
9027308,1,south_america,geoglows,Amazon_River
9027313,1,south_america,geoglows,Amazon_River
9027314,2,south_america,geoglows,Amazon_River
9027315,1,south_america,geoglows,Amazon_River
9027316,1,south_america,geoglows,Amazon_River
9027317,4,south_america,geoglows,Amazon_River
9027341,1,south_america,geoglows,Amazon_River
9027365,4,south_america,geoglows,Amazon_River
9027388,2,south_america,geoglows,Amazon_River
9027417,2,south_america,geoglows,Amazon_River
9027418,4,south_america,geoglows,Amazon_River
9027434,1,south_america,geoglows,Amazon_River
9027435,2,south_america,geoglows,Amazon_River
9027436,4,south_america,geoglows,Amazon_River
9027448,2,south_america,geoglows,Amazon_River
9027449,2,south_america,geoglows,Amazon_River
9027504,4,south_america,geoglows,Amazon_River
9027505,1,south_america,geoglows,Amazon_River
9027511,1,south_america,geoglows,Amazon_River
9027523,2,south_america,geoglows,Amazon_River
9027547,1,south_america,geoglows,Amazon_River
9027548,5,south_america,geoglows,Amazon_River
9027558,1,south_america,geoglows,Amazon_River
9027559,4,south_america,geoglows,Amazon_River
9027583,3,south_america,geoglows,Amazon_River
9027622,1,south_america,geoglows,Amazon_River
9027623,3,south_america,geoglows,Amazon_River
9027641,1,south_america,geoglows,Amazon_River
9027677,3,south_america,geoglows,Amazon_River
9027684,1,south_america,geoglows,Amazon_River
9027690,2,south_america,geoglows,Amazon_River
9027691,1,south_america,geoglows,Amazon_River
9027731,4,south_america,geoglows,Amazon_River
9027732,1,south_america,geoglows,Amazon_River
9027764,1,south_america,geoglows,Amazon_River
9027765,2,south_america,geoglows,Amazon_River
9027776,1,south_america,geoglows,Amazon_River
9027777,1,south_america,geoglows,Amazon_River
9027805,1,south_america,geoglows,Amazon_River
9027824,3,south_america,geoglows,Amazon_River
9027825,1,south_america,geoglows,Amazon_River
9027834,1,south_america,geoglows,Amazon_River
9027859,4,south_america,geoglows,Amazon_River
9027881,1,south_america,geoglows,Amazon_River
9027930,1,south_america,geoglows,Amazon_River
9027941,1,south_america,geoglows,Amazon_River
9027959,1,south_america,geoglows,Amazon_River
9027975,2,south_america,geoglows,Amazon_River
9027992,1,south_america,geoglows,Amazon_River
9028004,3,south_america,geoglows,Amazon_River
9028016,2,south_america,geoglows,Amazon_River
9028031,1,south_america,geoglows,Amazon_River
9028032,2,south_america,geoglows,Amazon_River
9028102,5,south_america,geoglows,Amazon_River
9028103,2,south_america,geoglows,Amazon_River
9028109,2,south_america,geoglows,Amazon_River
9028110,1,south_america,geoglows,Amazon_River
9028127,1,south_america,geoglows,Amazon_River
9028165,1,south_america,geoglows,Amazon_River
9028177,4,south_america,geoglows,Amazon_River
9028200,1,south_america,geoglows,Amazon_River
9028201,3,south_america,geoglows,Amazon_River
9028214,2,south_america,geoglows,Amazon_River
9028215,1,south_america,geoglows,Amazon_River
9028223,1,south_america,geoglows,Amazon_River
9028237,1,south_america,geoglows,Amazon_River
9028238,1,south_america,geoglows,Amazon_River
9028282,1,south_america,geoglows,Amazon_River
9028301,4,south_america,geoglows,Amazon_River
9028306,1,south_america,geoglows,Amazon_River
9028363,1,south_america,geoglows,Amazon_River
9028370,1,south_america,geoglows,Amazon_River
9028387,3,south_america,geoglows,Amazon_River
9028389,3,south_america,geoglows,Amazon_River
9028399,4,south_america,geoglows,Amazon_River
9028419,2,south_america,geoglows,Amazon_River
9028438,1,south_america,geoglows,Amazon_River
9028439,1,south_america,geoglows,Amazon_River
9028461,1,south_america,geoglows,Amazon_River
9028522,3,south_america,geoglows,Amazon_River
9028523,1,south_america,geoglows,Amazon_River
9028564,1,south_america,geoglows,Amazon_River
9028581,3,south_america,geoglows,Amazon_River
9028587,3,south_america,geoglows,Amazon_River
9028588,4,south_america,geoglows,Amazon_River
9028594,1,south_america,geoglows,Amazon_River
9028595,2,south_america,geoglows,Amazon_River
9028606,1,south_america,geoglows,Amazon_River
9028614,2,south_america,geoglows,Amazon_River
9028615,1,south_america,geoglows,Amazon_River
9028625,1,south_america,geoglows,Amazon_River
9028632,4,south_america,geoglows,Amazon_River
9028652,1,south_america,geoglows,Amazon_River
9028654,1,south_america,geoglows,Amazon_River
9028655,1,south_america,geoglows,Amazon_River
9028665,4,south_america,geoglows,Amazon_River
9028666,4,south_america,geoglows,Amazon_River
9028667,3,south_america,geoglows,Amazon_River
9028672,4,south_america,geoglows,Amazon_River
9028682,2,south_america,geoglows,Amazon_River
9028699,1,south_america,geoglows,Amazon_River
9028700,1,south_america,geoglows,Amazon_River
9028715,2,south_america,geoglows,Amazon_River
9028732,1,south_america,geoglows,Amazon_River
9028733,1,south_america,geoglows,Amazon_River
9028740,4,south_america,geoglows,Amazon_River
9028741,2,south_america,geoglows,Amazon_River
9028752,5,south_america,geoglows,Amazon_River
9028753,2,south_america,geoglows,Amazon_River
9028757,3,south_america,geoglows,Amazon_River
9028767,3,south_america,geoglows,Amazon_River
9028776,2,south_america,geoglows,Amazon_River
9028782,1,south_america,geoglows,Amazon_River
9028786,1,south_america,geoglows,Amazon_River
9028826,4,south_america,geoglows,Amazon_River
9028833,3,south_america,geoglows,Amazon_River
9028846,3,south_america,geoglows,Amazon_River
9028856,1,south_america,geoglows,Amazon_River
9028874,3,south_america,geoglows,Amazon_River
9028875,1,south_america,geoglows,Amazon_River
9028883,1,south_america,geoglows,Amazon_River
9028884,3,south_america,geoglows,Amazon_River
9028887,1,south_america,geoglows,Amazon_River
9028936,1,south_america,geoglows,Amazon_River
9028941,3,south_america,geoglows,Amazon_River
9028976,3,south_america,geoglows,Amazon_River
9028977,1,south_america,geoglows,Amazon_River
9028978,2,south_america,geoglows,Amazon_River
9028985,1,south_america,geoglows,Amazon_River
9028988,1,south_america,geoglows,Amazon_River
9029015,1,south_america,geoglows,Amazon_River
9029019,1,south_america,geoglows,Amazon_River
9029020,1,south_america,geoglows,Amazon_River
9029059,3,south_america,geoglows,Amazon_River
